symbol	date	error_type	error_code
AFXXF	2020-01-31	response error	503
AFYG	2020-01-31	low data size	
AG01.X	2020-01-31	no data	
AG02.X	2020-01-31	no data	
AG03.X	2020-01-31	no data	
AGAAF	2020-01-31	response error	503
AGATF	2020-01-31	no data	
AGDXF	2020-01-31	low data size	
AGDY	2020-01-31	low data size	
AGESF	2020-01-31	no data	
AGFAF	2020-01-31	response error	503
AGFMF	2020-01-31	low data size	
AGFXF	2020-01-31	response error	503
AGGG	2020-01-31	no data	
AGGHF	2020-01-31	response error	503
AGGKY	2020-01-31	response error	503
AGGL	2020-01-31	low data size	
AGGX	2020-01-31	low data size	
AGHEF	2020-01-31	no data	
AGHI	2020-01-31	low data size	
AGI	2020-01-31	no data	
AGIN	2020-01-31	no data	
AGLAF	2020-01-31	low data size	
AGLDF	2020-01-31	low data size	
AGLNF	2020-01-31	low data size	
AGLXY	2020-01-31	no data	
AGLY	2020-01-31	response error	503
AGM-A	2020-01-31	no data	
AGM-C	2020-01-31	no data	
AGM-D	2020-01-31	response error	503
AGMJF	2020-01-31	low data size	
AGND.DV.X	2020-01-31	no data	
AGND.EU.X	2020-01-31	no data	
AGND.IV.X	2020-01-31	no data	
AGND.NV.X	2020-01-31	no data	
AGND.SO.X	2020-01-31	no data	
AGND.TC.X	2020-01-31	no data	
AGNIP	2020-01-31	response error	503
AGO-B	2020-01-31	no data	
AGO-E	2020-01-31	no data	
AGO-F	2020-01-31	no data	
AGOAF	2020-01-31	low data size	
AGOWF	2020-01-31	no data	
AGPDF	2020-01-31	low data size	
AGPIF	2020-01-31	low data size	
AGPKF	2020-01-31	response error	503
AGPL	2020-01-31	response error	503
AGPYF	2020-01-31	low data size	
AGPYY	2020-01-31	no data	
AGR	2020-01-31	no data	
AGRDF	2020-01-31	no data	
AGREF	2020-01-31	low data size	
AGRIP	2020-01-31	no data	
AGRNQ	2020-01-31	low data size	
AGRO	2020-01-31	no data	
AGRPF	2020-01-31	low data size	
AGRPY	2020-01-31	low data size	
AGRUF	2020-01-31	no data	
AGS	2020-01-31	no data	
AGSM	2020-01-31	low data size	
AGSVF	2020-01-31	no data	
AGTEF	2020-01-31	no data	
AGTX	2020-01-31	response error	503
AGX	2020-01-31	no data	
AGXKF	2020-01-31	low data size	
AGXLW	2020-01-31	response error	503
AGYTF	2020-01-31	low data size	
AGYYF	2020-01-31	no data	
AGZD.DV.X	2020-01-31	no data	
AGZD.EU.X	2020-01-31	no data	
AGZD.IV.X	2020-01-31	no data	
AGZD.NV.X	2020-01-31	no data	
AGZD.SO.X	2020-01-31	no data	
AGZD.TC.X	2020-01-31	no data	
AGZNF	2020-01-31	no data	
